customer_id,customer_name,email,gender,region_id,signup_date
1,Ricky Johnson,lorihall@gmail.com,Other,5,2024-03-01
2,Tonya Friedman,watersheidi@obrien-bradley.com,Other,6,2023-07-24
3,Randy Melton,jenningsjohn@stout.com,Male,2,2024-01-18
4,Joseph Chavez,christopher56@wells-wyatt.com,Other,1,2024-12-19
5,Jessica Lewis,cortezgary@meyer.com,Other,6,2024-06-11
6,Linda Marshall,anthonyhart@anderson-cruz.com,Other,3,2025-01-03
7,Jonathan Farmer,dgates@rodriguez.com,Other,2,2024-04-21
8,Darlene Kidd,uzhang@sherman.biz,Male,6,2024-02-17
9,Robert Short,mariaellis@hotmail.com,Male,2,2024-11-03
10,Kim Phillips,xhall@hughes.info,Other,4,2023-09-22
11,Kimberly Manning,upeters@armstrong-jackson.com,Other,2,2024-02-22
12,Nicholas Hodge,carriemurphy@holder.com,Female,1,2023-12-07
13,Sean Gibson,wardpamela@yahoo.com,Other,1,2024-09-09
14,Peter Yang,sarah60@nelson.com,Male,5,2023-08-21
15,Chad Johnson,davidhernandez@hotmail.com,Male,6,2023-10-02
16,Daniel Carr MD,franklinmelvin@gmail.com,Male,2,2025-03-03
17,Debra Thomas,brookemorgan@ramirez.com,Other,3,2023-08-23
18,Judith Smith,karen20@gmail.com,Other,4,2025-07-02
19,Warren Suarez,rsmith@gmail.com,Female,4,2023-10-04
20,Michael Marshall,ddunn@hotmail.com,Other,1,2024-03-31
21,Rick Stark,heatherramirez@simon.biz,Female,5,2023-11-24
22,Holly Wood,mikegallegos@hotmail.com,Female,5,2025-02-05
23,Melinda Norris,smithedward@hotmail.com,Female,6,2025-06-29
24,Miss Michelle Johnson MD,jesse65@mckinney.biz,Other,5,2024-03-30
25,Megan Frey,finleymichelle@thomas-walker.com,Other,6,2024-06-17
26,Norman Gonzalez,brandonjohnson@morris.com,Male,6,2023-08-29
27,Terri Compton,jasmine99@adams.com,Male,6,2025-03-01
28,David Mcclure,higginsjuan@yahoo.com,Other,6,2025-05-26
29,David Burke,tanya84@yahoo.com,Female,3,2023-07-16
30,Amanda Cooper,david84@hotmail.com,Other,3,2023-09-27
31,Elizabeth Smith,jameswang@hotmail.com,Male,1,2024-08-01
32,Craig White,ispears@yahoo.com,Female,4,2024-08-01
33,Raymond King,xmartinez@hotmail.com,Male,3,2025-05-20
34,Karen Mcguire,othompson@calhoun.com,Other,4,2025-03-27
35,Courtney Olson,jenniferramos@harris.net,Male,3,2023-08-04
36,Rachel Fletcher,vgreen@reyes-blevins.com,Other,6,2025-05-19
37,Daniel Flynn,karen92@yahoo.com,Other,4,2023-08-25
38,Connie Thompson,cruzeric@roy.com,Male,4,2024-01-01
39,Ariel Aguilar,davidmiller@yahoo.com,Other,2,2024-04-02
40,Todd Blackburn,iwest@yahoo.com,Female,3,2024-08-02
41,Daniel Garcia,robertbrown@yahoo.com,Male,1,2024-03-26
42,Anthony Collier,brentjackson@brown.info,Male,4,2023-07-20
43,Kathryn Hughes,rachelmacias@pace.org,Other,4,2023-09-24
44,Stephen Cameron,johnsoncynthia@hotmail.com,Female,2,2024-02-18
45,Carol Daniel,sandra35@hotmail.com,Other,3,2024-04-18
46,Maureen Bradford,stoutchristina@austin-norton.com,Male,6,2024-08-11
47,Peter Crawford,kruegermatthew@white.info,Other,3,2024-08-20
48,Brandy Kelly,jonessarah@yahoo.com,Male,6,2023-09-13
49,John Cobb,armstrongjennifer@evans-west.com,Other,4,2025-04-14
50,Kathleen Richardson,andreasanders@jenkins-williams.com,Female,2,2023-11-19
51,Edward Garcia,perezabigail@yahoo.com,Other,3,2023-12-02
52,Kathryn Bray,jessica85@sweeney-erickson.com,Female,5,2024-10-14
53,Mallory Flynn,jennifernorton@gmail.com,Male,2,2025-05-17
54,Mrs. Mariah Parker,robert25@brown.org,Other,1,2025-07-02
55,Marcus Parsons,jonesjoseph@hansen-baker.com,Other,4,2025-02-28
56,Kimberly Ward,shawnharris@spencer-johnson.org,Other,6,2025-06-23
57,Christopher Gonzalez,lori12@mcgee.com,Female,5,2023-08-05
58,Kathryn Myers,anthony93@hotmail.com,Male,6,2023-12-05
59,Dr. Jared Miller,andrea47@hill.biz,Female,5,2024-06-07
60,Joshua Jackson,volsen@walker.com,Female,1,2024-11-08
61,Dale Wang,gdaniels@thomas.com,Female,2,2023-07-23
62,Sophia Stewart,icampbell@gmail.com,Female,4,2024-11-30
63,Jerry Garrison,melissapeterson@hotmail.com,Female,4,2024-11-29
64,James Knight,robinbrown@martin.net,Male,6,2024-04-13
65,Sharon Todd,amanda43@yahoo.com,Female,1,2025-01-28
66,Michele Robles,lcastillo@villanueva-barrett.biz,Male,6,2024-10-24
67,Rita Newman,stonebrandon@rivers.com,Female,2,2024-12-28
68,Michele Williams,nmartinez@pineda.org,Other,5,2025-04-27
69,Taylor Woods,franklinbreanna@gmail.com,Other,3,2025-03-08
70,Jessica Ford,robinflores@hotmail.com,Male,4,2024-11-16
71,Timothy Mckay,longkevin@hotmail.com,Male,4,2023-08-31
72,Jason Merritt,virginia02@hotmail.com,Female,6,2025-02-07
73,Jason Lyons,christopherholt@hotmail.com,Male,6,2023-11-25
74,Austin Scott PhD,john22@kelly.net,Other,2,2023-07-19
75,Andrew Mills,christopher71@yahoo.com,Male,2,2024-07-03
76,Javier Castillo,timothy49@hotmail.com,Female,5,2024-08-13
77,Keith Klein,karenphillips@yahoo.com,Other,2,2024-05-30
78,Marcus Coleman,karen37@paul.net,Male,5,2025-02-09
79,Christopher Monroe,dvalencia@hotmail.com,Female,2,2024-04-15
